State,County,Index,Density,Population,Female Share,Caucasian Share,Less Than High School,Below Poverty Percent,UnEmployement,Pop Per SqMile,Homocides,Firearms Homocides,Strictness
Arkansas,Dallas County|Arkansas,4,0.473632,7921,51.5,44.100000000000001,17.900000000000006,19.7,10.699999999999999,12.2,0,0,Loose
Arkansas,Desha County|Arkansas,4,0.685809,12492,53.2,49.899999999999999,23.099999999999994,30.1,10.6,16.9,1,0,Loose
Arkansas,Drew County|Arkansas,4,0.513912,18728,51.3,30.400000000000006,18.700000000000003,28.5,11.300000000000001,22.3,0,0,Loose
Arkansas,Faulkner County|Arkansas,4,0.612397,119390,51,15,10.599999999999994,14.6,6.7999999999999998,174.8,6,4,Loose
Arkansas,Franklin County|Arkansas,4,0.173959,17945,50.7,4.7999999999999972,17.900000000000006,20.5,6.9000000000000004,29.8,0,0,Loose
Arkansas,Fulton County|Arkansas,4,0.070804,12227,50.7,3,16.299999999999997,18.7,7.0999999999999996,19.8,0,0,Loose
Arkansas,Garland County|Arkansas,4,0.630967,97065,51.7,12.299999999999997,13.200000000000003,20.7,7.7999999999999998,141.7,9,6,Loose
Arkansas,Grant County|Arkansas,4,0.249706,18046,50.4,5.0999999999999943,15.099999999999994,9.9,6.7999999999999998,28.3,2,2,Loose
Arkansas,Greene County|Arkansas,4,0.584937,43072,50.8,2.9000000000000057,17.200000000000003,17.1,9.1999999999999993,72.9,0,0,Loose
Arkansas,Hempstead County|Arkansas,4,0.442302,22398,51.6,32.799999999999997,18.299999999999997,27.4,7.5,31.1,0,0,Loose
Arkansas,Hot Spring County|Arkansas,4,0.340309,33440,48,14.200000000000003,16.599999999999994,14.2,6.9000000000000004,53.5,1,1,Loose
Arkansas,Howard County|Arkansas,4,0.324824,13544,51.1,24.400000000000006,24,23.2,7.2999999999999998,23.4,0,0,Loose
Arkansas,Independence County|Arkansas,4,0.314159,36843,51.2,5.5999999999999943,17.5,23.7,9.0999999999999996,48,1,1,Loose
Arkansas,Izard County|Arkansas,4,0,13364,48.4,4.2000000000000028,20.200000000000003,18.7,8.5999999999999996,23.6,1,0,Loose
Arkansas,Jackson County|Arkansas,4,0.349392,17664,50.4,20.099999999999994,24.400000000000006,28.4,9.8000000000000007,28.4,1,0,Loose
Arkansas,Jefferson County|Arkansas,4,0.690837,73084,51,58.200000000000003,17,23.9,9.8000000000000007,88.9,7,5,Loose
Arkansas,Johnson County|Arkansas,4,0.286335,25887,50.4,6.2999999999999972,20.299999999999997,20.1,7,38.7,1,0,Loose
Arkansas,Lafayette County|Arkansas,4,0,7245,51.5,38.799999999999997,22.5,24.1,10.1,14.5,0,0,Loose
Arkansas,Lawrence County|Arkansas,4,0.364399,17061,50.9,2.7000000000000028,22.599999999999994,25.4,9.1999999999999993,29.6,0,0,Loose
Arkansas,Lee County|Arkansas,4,0.364927,10041,44.3,56.899999999999999,29.900000000000006,31.5,11.300000000000001,17.3,0,0,Loose
Arkansas,Lincoln County|Arkansas,4,0,14043,39,32.099999999999994,26.5,27,9.3000000000000007,25.2,0,0,Loose
Arkansas,Little River County|Arkansas,4,0.314782,12741,51,24,16.599999999999994,14,7.4000000000000004,24.7,0,0,Loose
Arkansas,Logan County|Arkansas,4,0.289805,22076,50.4,6.2999999999999972,18.700000000000003,17.6,7.9000000000000004,31.6,0,0,Loose
Arkansas,Lonoke County|Arkansas,4,0.551875,70834,50.7,9.4000000000000057,13.299999999999997,13.2,6.4000000000000004,88.7,0,0,Loose
Arkansas,Madison County|Arkansas,4,0,15721,49.9,4.5,23.400000000000006,22.6,5.5999999999999996,18.8,0,0,Loose
Arkansas,Marion County|Arkansas,4,0,16427,50.1,3.2999999999999972,16.400000000000006,18.9,8.4000000000000004,27.9,0,0,Loose
Arkansas,Miller County|Arkansas,4,0.59988,43380,50.8,27.799999999999997,14.900000000000006,19.5,6.9000000000000004,69.5,0,0,Loose
Arkansas,Mississippi County|Arkansas,4,0.637328,44734,51.3,36.899999999999999,22.200000000000003,24.9,10.300000000000001,51.6,11,10,Loose
Arkansas,Monroe County|Arkansas,4,0.310222,7667,52.5,42.899999999999999,24.700000000000003,28.8,8.5,13.4,1,1,Loose
Arkansas,Montgomery County|Arkansas,4,0,9216,50,4.7000000000000028,17.700000000000003,22,7.9000000000000004,12.2,0,0,Loose
Arkansas,Nevada County|Arkansas,4,0.308214,8789,50.8,32.900000000000006,17.900000000000006,26.5,7.2999999999999998,14.6,0,0,Loose
Arkansas,Newton County|Arkansas,4,0,8068,49.6,4.2000000000000028,20.200000000000003,23.5,8,10.1,1,1,Loose
Arkansas,Ouachita County|Arkansas,4,0.436485,25013,52.8,42.700000000000003,15.299999999999997,23.1,9.8000000000000007,35.6,2,2,Loose
Arkansas,Perry County|Arkansas,4,0,10344,50.2,5.0999999999999943,15.400000000000006,15.6,8.4000000000000004,18.9,0,0,Loose
Arkansas,Phillips County|Arkansas,4,0.520338,20426,53,63.799999999999997,27.200000000000003,33.5,11,31.3,0,0,Loose
Arkansas,Pike County|Arkansas,4,0,11126,50.1,6.5,19.900000000000006,24.8,8.9000000000000004,18.8,0,0,Loose
Arkansas,Poinsett County|Arkansas,4,0.288614,24222,51.7,9.9000000000000057,26.700000000000003,28.1,8.1999999999999993,32.4,0,0,Loose
Arkansas,Polk County|Arkansas,4,0.266141,20354,50.9,5.2999999999999972,14.900000000000006,23.1,7.9000000000000004,24.1,0,0,Loose
Arkansas,Pope County|Arkansas,4,0.455064,62747,50.2,7.5,18.099999999999994,19.3,7.4000000000000004,76,0,0,Loose
Arkansas,Prairie County|Arkansas,4,0,8360,50.8,13.799999999999997,21.400000000000006,21.2,7.4000000000000004,13.4,0,0,Loose
Arkansas,Pulaski County|Arkansas,4,0.877233,391536,52,40.5,10.799999999999997,17.2,6.9000000000000004,503.8,37,28,Loose
Arkansas,Randolph County|Arkansas,4,0.325783,17634,50.8,3.0999999999999943,19.599999999999994,21.8,10.199999999999999,27.6,0,0,Loose
Arkansas,St. Francis County|Arkansas,4,0.484465,27302,45.2,55.399999999999999,24,28.4,11.199999999999999,44.5,3,3,Loose
Arkansas,Saline County|Arkansas,4,0.638399,114185,50.9,9.0999999999999943,10.799999999999997,8.6,6.2999999999999998,148,1,0,Loose
Arkansas,Scott County|Arkansas,4,0.296448,10914,49.4,9.2999999999999972,23,20,6.7000000000000002,12.6,0,0,Loose
Arkansas,Searcy County|Arkansas,4,0,7990,49.9,4.5,25.900000000000006,26.1,7.9000000000000004,12.3,0,0,Loose
Arkansas,Sebastian County|Arkansas,4,0.791879,127118,51,17,17.799999999999997,21.2,7.5,236.4,7,3,Loose
Arkansas,Sevier County|Arkansas,4,0.363993,17342,50.1,10.799999999999997,33.700000000000003,24.4,8,30.2,0,0,Loose
Arkansas,Sharp County|Arkansas,4,0.199432,17068,50.8,4.0999999999999943,17,23.9,10.199999999999999,28.6,0,0,Loose
Arkansas,Stone County|Arkansas,4,0,12533,50.5,3.2000000000000028,21.099999999999994,25.5,10.199999999999999,20.4,0,0,Loose
Arkansas,Union County|Arkansas,4,0.454958,40675,51.3,35.400000000000006,17.599999999999994,21.5,8.8000000000000007,40.1,2,0,Loose
Arkansas,Van Buren County|Arkansas,4,0,16965,50,3.9000000000000057,18.599999999999994,24.5,9.1999999999999993,24.4,0,0,Loose
Arkansas,Washington County|Arkansas,4,0.745052,216753,49.9,12.400000000000006,17.400000000000006,20.7,5.5999999999999996,215.6,1,0,Loose
Arkansas,White County|Arkansas,4,0.456822,78661,51,7.5999999999999943,17.400000000000006,17.5,8.3000000000000007,74.5,3,3,Loose
Arkansas,Woodruff County|Arkansas,4,0,7052,52.4,29.299999999999997,26.400000000000006,24.3,11.1,12.4,0,0,Loose
Arkansas,Yell County|Arkansas,4,0.208745,21807,50.2,5.9000000000000057,28.700000000000003,22.7,6.2999999999999998,23.9,0,0,Loose
California,Alameda County|California,81,0.996114,1583226,51,48,13.599999999999994,12.5,8.9000000000000004,"2,043.6",131,104,Strict
California,Alpine County|California,81,0,1150,47.4,28.200000000000003,9.5999999999999943,16.6,13.300000000000001,1.6,0,0,Strict
California,Amador County|California,81,0.395763,36602,46.9,9.0999999999999943,11.900000000000006,12.6,11.5,64.1,1,1,Strict
California,Butte County|California,81,0.810982,222420,50.4,13,12.299999999999997,20.4,11.9,134.4,6,3,Strict
California,Calaveras County|California,81,0.245908,44614,50,7.9000000000000057,7.2000000000000028,10.9,12.9,44.7,1,0,Strict
California,Colusa County|California,81,0.682758,21432,48.3,8.4000000000000057,30.599999999999994,12.5,20.100000000000001,18.6,0,0,Strict
California,Contra Costa County|California,81,0.992073,1095980,51.2,32.099999999999994,11.200000000000003,10.5,8.9000000000000004,"1,465.2",70,49,Strict
California,Del Norte County|California,81,0.663265,27827,44.6,21.400000000000006,20.900000000000006,21.8,13.199999999999999,28.4,3,1,Strict
California,El Dorado County|California,81,0.653001,181542,50,9.9000000000000057,6.7999999999999972,9,10.300000000000001,106,5,4,Strict
California,Fresno County|California,81,0.891948,956102,50,22.599999999999994,26.900000000000006,26,14.9,156.2,62,43,Strict
California,Glenn County|California,81,0.591281,27914,49.5,9.9000000000000057,27.700000000000003,18.8,14.300000000000001,21.4,1,1,Strict
California,Humboldt County|California,81,0.702413,134620,50,15.599999999999994,9.5999999999999943,20.4,10.300000000000001,37.7,7,4,Strict
California,Imperial County|California,81,0.825822,177517,48.8,10.400000000000006,35.5,23.3,27.100000000000001,41.8,3,3,Strict
California,Inyo County|California,81,0.535695,18423,49.8,18.299999999999997,11.900000000000006,12.8,9.4000000000000004,1.8,0,0,Strict
California,Kern County|California,81,0.89794,865923,48.7,17.099999999999994,27.599999999999994,22.9,13.199999999999999,103.3,83,46,Strict
California,Kings County|California,81,0.891484,150862,44.3,18.599999999999994,29,21,15,110.1,3,2,Strict
California,Lake County|California,81,0.66894,63843,50,12.099999999999994,14.599999999999994,25,14.1,51.5,3,3,Strict
California,Lassen County|California,81,0.294741,32212,36.6,18.200000000000003,20.599999999999994,16.9,12.4,7.7,1,0,Strict
California,Los Angeles County|California,81,0.993948,10053995,50.7,28.5,23.400000000000006,17.8,10.9,"2,419.6",630,496,Strict
California,Madera County|California,81,0.670752,152165,51.3,13.799999999999997,31.5,22.8,13.300000000000001,70.6,9,5,Strict
California,Marin County|California,81,0.9348,258821,51.1,13.799999999999997,7.5999999999999943,7.7,6.2999999999999998,485.1,4,2,Strict
California,Mariposa County|California,81,0,17758,49.2,9.7999999999999972,12.299999999999997,16.1,11,12.6,0,0,Strict
California,Mendocino County|California,81,0.547694,87471,50.1,13.400000000000006,14.799999999999997,20,9.4000000000000004,25.1,5,3,Strict
California,Merced County|California,81,0.857267,263481,49.4,18.099999999999994,33.299999999999997,25.4,16.800000000000001,132.2,26,16,Strict
California,Modoc County|California,81,0.300434,9112,49.6,11.099999999999994,15.200000000000003,21,13.5,2.5,1,1,Strict
California,Mono County|California,81,0.541684,14016,46.5,8,16.200000000000003,8.5,10.6,4.7,0,0,Strict
California,Monterey County|California,81,0.90184,429123,48.6,17.5,29,17,11.4,126.5,44,34,Strict
California,Napa County|California,81,0.865992,140580,50.2,14.799999999999997,16.900000000000006,10.1,7.7999999999999998,182.4,2,1,Strict
