"Weekly Lyme Disease Cases, 2006-2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data provided by Project Tycho, Data Version 1.0.0, released 28 November 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEAR,WEEK,ALABAMA,ALASKA,AMERICAN SAMOA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NEW YORK CITY,NORTH CAROLINA,NORTH DAKOTA,NORTHERN MARIANA ISLANDS,OHIO,OKLAHOMA,OREGON,PAC TRUST TERR,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UPSTATE NEW YORK,UTAH,VERMONT,VIRGIN ISLANDS,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
2007,16,-,-,-,-,-,3,-,1,-,-,1,-,-,-,1,-,-,-,-,-,-,-,8,-,-,3,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2,-,9,-,1,-,2,-,-,-,-
2007,17,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,6,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,10,-,-,-,3,-,-,-,-
2007,18,-,-,-,-,-,7,-,4,4,-,1,-,-,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,55,-,-,-,1,-,-,-,-
2007,19,1,-,-,-,-,2,-,19,6,1,1,-,-,-,1,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,1,-,-,-,26,-,3,-,5,-,-,-,-
2007,20,-,-,-,-,-,1,-,4,7,-,1,-,-,-,-,-,-,-,1,-,-,-,11,-,-,3,-,-,-,-,-,2,-,-,-,-,-,-,-,1,-,-,-,3,-,-,-,-,-,3,29,-,-,-,15,-,-,-,-
2007,21,-,-,-,-,-,2,-,14,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2007,22,-,-,-,-,-,2,-,-,2,-,2,-,-,-,-,-,1,-,-,-,-,-,7,-,-,4,-,-,-,-,-,3,-,-,-,-,2,-,-,-,-,1,-,12,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-
2007,23,-,-,-,-,-,-,-,51,7,-,-,-,-,-,-,-,-,-,-,-,-,1,14,-,-,3,-,-,-,1,-,1,2,-,-,-,-,-,-,-,-,-,-,16,-,-,1,-,-,-,69,-,3,-,-,-,-,-,-
2007,24,-,-,-,-,-,1,-,37,-,-,1,-,-,-,-,-,1,-,-,-,-,-,9,-,-,15,-,-,-,-,-,5,-,-,-,-,6,-,-,-,-,-,-,27,-,-,1,-,2,-,77,-,-,-,25,-,-,-,-
2007,25,-,-,-,-,-,3,-,67,13,-,2,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-,6,-,-,-,-,5,-,-,-,-,-,-,49,-,-,-,-,1,-,56,-,6,-,22,-,-,-,-
2007,26,-,-,-,-,-,3,-,95,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,-,-,-,-,-,-,142,-,-,-,-,-,-,-,-
2007,27,-,-,-,-,-,3,-,24,1,-,2,-,-,-,-,-,-,-,-,-,-,10,19,-,1,-,-,4,-,-,-,2,-,-,-,-,1,-,-,2,-,-,-,39,-,-,-,-,1,-,108,-,3,-,1,-,4,-,-
2007,28,-,-,-,-,-,10,-,214,15,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,12,-,3,-,-,-,-,9,-,-,-,1,-,-,-,-,-,-,73,-,-,-,-,-,-,142,-,7,-,21,-,-,-,-
2007,29,-,-,-,-,-,4,-,213,12,-,4,-,-,-,-,-,-,-,-,-,-,13,18,-,-,39,-,-,-,1,-,5,2,-,-,-,-,-,-,2,-,-,-,60,-,-,1,-,-,-,192,-,-,-,10,-,7,-,-
2007,30,-,-,-,-,-,3,-,81,12,-,1,-,-,-,-,-,-,-,1,-,-,22,25,-,1,14,-,1,-,-,-,8,-,-,-,-,2,-,-,-,-,-,-,41,-,-,-,-,-,-,190,-,3,-,51,-,6,-,-
2007,31,-,1,-,-,-,2,-,78,6,-,5,-,-,-,2,-,2,-,-,-,-,6,17,-,1,17,-,-,-,-,-,4,-,-,-,1,3,-,-,-,-,-,-,37,-,-,-,-,-,2,198,-,4,-,12,-,-,-,-
2007,32,-,-,-,-,-,4,-,91,11,-,2,-,-,-,-,-,2,-,-,-,-,-,19,-,3,32,-,-,-,-,1,7,4,-,-,-,4,2,-,-,-,-,-,31,-,-,1,-,1,-,162,-,3,-,1,-,-,-,-
2007,33,-,1,-,-,-,4,-,116,6,-,3,-,-,-,-,-,-,-,-,-,-,41,15,-,-,-,-,-,-,-,1,5,3,-,-,-,1,-,-,-,-,-,-,62,-,-,-,-,2,1,110,-,1,-,-,-,-,-,-
2007,34,-,1,-,1,-,2,-,90,8,-,5,-,-,-,-,-,-,-,-,-,-,-,12,-,-,3,-,1,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,36,-,-,-,-,-,1,114,-,-,-,20,-,-,-,-
2007,35,-,-,-,-,-,5,-,31,4,-,3,-,-,-,-,-,4,-,-,-,-,19,10,-,1,-,-,-,-,-,-,2,-,-,-,-,-,-,-,2,-,-,-,-,-,5,-,-,1,-,123,-,1,-,26,-,-,-,-
2007,36,-,-,-,-,-,2,-,59,5,-,4,-,-,-,-,-,1,-,-,-,-,41,9,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,1,-,140,-,-,-,11,1,9,-,-
2007,37,-,-,-,-,-,4,-,89,5,-,4,-,-,-,-,-,-,-,-,-,-,33,8,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,-,-,-,22,-,-,1,-,1,-,178,1,-,-,3,-,-,3,-
2007,38,-,-,-,-,1,9,1,43,4,-,6,-,-,-,-,-,-,-,-,-,-,36,-,-,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,74,-,-,-,-,131,-,1,-,2,-,-,1,-
2007,39,-,-,-,-,-,8,-,8,3,-,11,-,-,-,-,-,-,-,-,-,-,6,12,-,-,1,-,-,-,-,-,2,1,-,-,-,8,-,-,-,-,-,-,6,-,13,-,-,3,2,140,-,1,-,4,-,-,-,-
